8,SERBIO,2023,EL MALLÍN,/remates/copa-bullrich-abril-2/lotes
9,UN RELAMPAGO,2023,EL CHAÑAR,/remates/copa-bullrich-abril-2/lotes
10,EMPRESS MORRIS,2023,EL ARROYO,/remates/copa-bullrich-abril-2/lotes
11,TWEEDY GUY,2023,SANTA INÉS,/remates/copa-bullrich-abril-2/lotes
12,CAMBIO RADICAL,2023,EL MALLÍN,/remates/copa-bullrich-abril-2/lotes
13,NIÑO FELIZ,2023,EL CHAÑAR,/remates/copa-bullrich-abril-2/lotes
14,SHANI,2023,SANTA INÉS,/remates/copa-bullrich-abril-2/lotes
15,EXCELSO,2023,EL CHAÑAR,/remates/copa-bullrich-abril-2/lotes
16,MINAMI,2023,LA LEYENDA,/remates/copa-bullrich-abril-2/lotes
17,HAPPY FRANKIE,2023,EL CHAÑAR,/remates/copa-bullrich-abril-2/lotes
18,MARINA CITY,2023,SANTA INÉS,/remates/copa-bullrich-abril-2/lotes
19,FOGUEADO,2023,EL MALLÍN,/remates/copa-bullrich-abril-2/lotes
20,PINTON,2023,EL CHAÑAR,/remates/copa-bullrich-abril-2/lotes
21,ERTO,2023,SANTA INÉS,/remates/copa-bullrich-abril-2/lotes
22,EGMONT,2023,EL CHAÑAR,/remates/copa-bullrich-abril-2/lotes
23,PALCO DE HONOR,2023,EL CHAÑAR,/remates/copa-bullrich-abril-2/lotes
24,OTIS BLUE,2023,SANTA INÉS,/remates/copa-bullrich-abril-2/lotes
25,LA MAS BONITA,2023,EL CHAÑAR,/remates/copa-bullrich-abril-2/lotes
26,GOODNIGHT BABY,2023,EL CHAÑAR,/remates/copa-bullrich-abril-2/lotes
27,MR. BOND,2023,SANTA INÉS,/remates/copa-bullrich-abril-2/lotes
28,EMBLEMA,2023,EL MALLÍN,/remates/copa-bullrich-abril-2/lotes
29,WOODY MATIC,2023,EL ARROYO,/remates/copa-bullrich-abril-2/lotes
30,SOBERBIA NOCHE,2023,EL MALLÍN,/remates/copa-bullrich-abril-2/lotes
31,DAY LEWIS,2023,EL MALLÍN,/remates/copa-bullrich-abril-2/lotes
32,COLORADO EL UNO,2023,LA LEYENDA,/remates/copa-bullrich-abril-2/lotes
33,TINCHINIO,2023,EL MALLÍN,/remates/copa-bullrich-abril-2/lotes
34,AKI,2023,EL MALLÍN,/remates/copa-bullrich-abril-2/lotes
35,SLAVO,2023,EL ARROYO,/remates/copa-bullrich-abril-2/lotes
36,CLAUDE MONET,2023,EL MALLÍN,/remates/copa-bullrich-abril-2/lotes
37,REINA MATIC,2023,EL ARROYO,/remates/copa-bullrich-abril-2/lotes
38,RIKI,2023,LA LEYENDA,/remates/copa-bullrich-abril-2/lotes
39,TELEGRAM,2023,EL MALLÍN,/remates/copa-bullrich-abril-2/lotes
40,DE GAULLE,2023,EL MALLÍN,/remates/copa-bullrich-abril-2/lotes
41,CUERDA,2023,EL MALLÍN,/remates/copa-bullrich-abril-2/lotes
42,COPERNICANA,2023,LA LEYENDA,/remates/copa-bullrich-abril-2/lotes
43,SIEMPRE EN VENTA,2023,EL MALLÍN,/remates/copa-bullrich-abril-2/lotes
44,UNA BANDA,2023,EL MALLÍN,/remates/copa-bullrich-abril-2/lotes
45,BOBBY CHARLTON,2023,EL MALLÍN,/remates/copa-bullrich-abril-2/lotes
46,JUARA,2023,EL MALLÍN,/remates/copa-bullrich-abril-2/lotes
47,ABRAZADORA,2023,EL MALLÍN,/remates/copa-bullrich-abril-2/lotes
48,ORTODOXA,2023,EL MALLÍN,/remates/copa-bullrich-abril-2/lotes
49,ENVIDO,2023,EL MALLÍN,/remates/copa-bullrich-abril-2/lotes
50,ASPERO,2023,EL MALLÍN,/remates/copa-bullrich-abril-2/lotes
51,BEAUTIFUL MIND,2023,EL MALLÍN,/remates/copa-bullrich-abril-2/lotes
52,TRUMAN CAPOTE,2023,EL MALLÍN,/remates/copa-bullrich-abril-2/lotes
,,,,/remates/view/343
1,FREE KICK,2023,GRAN MUÑECA,/remates/view/343
2,FULL LUJOSO,2023,GRAN MUÑECA,/remates/view/343
4,INTRUSO,2023,GRAN MUÑECA,/remates/view/343
5,STADE DE FRANCE,2023,GRAN MUÑECA,/remates/view/343
6,LAGO FONK,2023,GRAN MUÑECA,/remates/view/343
7,JURASSIC LAKE,2023,GRAN MUÑECA,/remates/view/343
8,THE GOLDEN DISK,2023,GRAN MUÑECA,/remates/view/343
9,FIXED DISK,2023,GRAN MUÑECA,/remates/view/343
10,SIETE LAGOS,2023,GRAN MUÑECA,/remates/view/343
11,SKYMOON,2023,GRAN MUÑECA,/remates/view/343
